Date,SOLLTEMPERATUR HK 1,SOLLTEMPERATUR HK 2,ISTTEMPERATUR,SOLLTEMPERATUR,BIVALENZTEMPERATUR HZG,BIVALENZTEMPERATUR WW,VERFLÜSSIGERTEMP.,DRUCK HEIZKREIS,VOLUMENSTROM,LEISTUNG WP,LSTG PU PUMPE,AUSSENTEMPERATUR,ISTTEMPERATUR HK 1,SOLLTEMPERATUR HK 1,ISTTEMPERATUR HK 2,SOLLTEMPERATUR HK 2,VORLAUFISTTEMPERATUR WP,VORLAUFISTTEMPERATUR NHZ,RÜCKLAUFISTTEMPERATUR,FESTWERTSOLLTEMPERATUR,PUFFERSOLLTEMPERATUR,PUFFERISTTEMPERATUR,RESTSTILLSTANDZEIT,VD HEIZEN,VD WARMWASSER,NHZ 1,NHZ 2,VD HEIZEN TAG,VD HEIZEN SUMME,VD WARMWASSER TAG,VD WARMWASSER SUMME,NHZ HEIZEN SUMME,MIN,MIDDLE,MAX,HEIZEN,WARMWASSER
2017 09 09 01:05:34,22.0,22.0,45.6,50.0,-12.0,-12.0,21.3,2.37,0.0,0,0,10.2,33.2,22.0,28.1,22.0,34.7,34.3,32.7,30.0,30.0,33.2,0,2165,273,0,0,6.397,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 01:15:29,22.0,22.0,45.5,50.0,-12.0,-12.0,16.6,2.37,0.0,0,0,10.1,30.0,22.0,28.0,22.0,34.4,33.8,32.2,30.0,30.0,30.0,0,2165,273,0,0,6.397,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 01:15:33,22.0,22.0,45.5,50.0,-12.0,-12.0,16.6,2.37,0.0,0,0,10.1,30.0,22.0,28.0,22.0,34.4,33.8,32.2,30.0,30.0,30.0,0,2165,273,0,0,6.397,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 01:15:34,22.0,22.0,45.5,50.0,-12.0,-12.0,16.6,2.37,0.0,0,0,10.1,30.0,22.0,28.0,22.0,34.4,33.8,32.2,30.0,30.0,30.0,0,2165,273,0,0,6.397,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 01:25:29,22.0,22.0,45.4,50.0,-12.0,-12.0,15.4,2.37,0.0,0,0,10.0,27.6,22.0,27.8,22.0,34.2,33.4,31.7,30.0,30.0,27.6,0,2165,273,0,0,6.397,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 01:25:32,22.0,22.0,45.4,50.0,-12.0,-12.0,15.4,2.37,0.0,0,0,10.0,27.6,22.0,27.8,22.0,34.2,33.4,31.7,30.0,30.0,27.6,0,2165,273,0,0,6.397,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 01:25:34,22.0,22.0,45.4,50.0,-12.0,-12.0,15.4,2.37,0.0,0,0,10.0,27.6,22.0,27.8,22.0,34.2,33.4,31.7,30.0,30.0,27.6,0,2165,273,0,0,6.397,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 01:35:29,22.0,22.0,45.2,50.0,-12.0,-12.0,15.9,2.37,0.0,0,0,10.0,26.7,22.0,27.6,22.0,33.9,33.0,31.4,30.0,30.0,26.7,0,2165,273,0,0,6.397,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 01:35:32,22.0,22.0,45.2,50.0,-12.0,-12.0,15.9,2.37,0.0,0,0,10.0,26.6,22.0,27.6,22.0,33.9,33.0,31.4,30.0,30.0,26.6,0,2165,273,0,0,6.397,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
2017 09 09 01:35:34,22.0,22.0,45.2,50.0,-12.0,-12.0,15.9,2.37,0.0,0,0,10.0,26.6,22.0,27.6,22.0,33.9,33.0,31.4,30.0,30.0,26.6,0,2165,273,0,0,6.397,14.440,0.707,2.661,0.001,11.7,15.9,20.6,2,0
